Rk,Player,PTS,Season,Team,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Class,Player-additional
1,Antoine Davis,930,2022-23,Detroit Mercy,33,33,1234,303,732,144,346,159,386,165,182,14,86,100,120,41,2,109,69,930,0.414,0.416,0.412,0.907,0.568,0.523,G,SR,antoine-davis-2
2,Darius McGhee,821,2022-23,Liberty,36,36,1150,274,624,112,213,162,411,111,128,15,103,118,107,58,6,68,42,821,0.439,0.526,0.394,0.867,0.599,0.569,G,SR,darius-mcghee-1
3,Drew Timme,786,2022-23,Gonzaga,37,37,1167,313,508,309,484,4,24,156,247,95,184,279,119,23,36,96,83,786,0.616,0.638,0.167,0.632,0.628,0.62,F,SR,drew-timme-1
4,Zach Edey,757,2022-23,Purdue,34,34,1077,290,478,290,478,0,0,177,241,186,252,438,52,8,72,77,56,757,0.607,0.607,,0.734,0.639,0.607,C,JR,zach-edey-1
5,Drew Pember,755,2022-23,UNC Asheville,36,36,1204,211,455,151,297,60,158,273,326,62,270,332,83,31,86,124,89,755,0.464,0.508,0.38,0.837,0.619,0.53,F,SR,drew-pember-1
6,Kendric Davis,744,2022-23,Memphis,34,34,1187,228,551,163,363,65,188,223,261,18,108,126,185,67,6,105,65,744,0.414,0.449,0.346,0.854,0.551,0.473,G,SR,kendric-davis-1
7,Max Abmas,743,2022-23,Oral Roberts,34,34,1224,233,534,114,215,119,319,158,172,18,131,149,137,37,6,68,58,743,0.436,0.53,0.373,0.919,0.603,0.548,G,SR,max-abmas-1
8,Jordan Walker,736,2022-23,UAB,33,32,1105,232,575,97,218,135,357,137,162,11,81,92,137,40,0,91,57,736,0.403,0.445,0.378,0.846,0.564,0.521,G,SR,jordan-walker-3
9,Jalen Wilson,723,2022-23,Kansas,36,36,1274,247,575,177,367,70,208,159,199,56,241,297,79,34,17,84,76,723,0.43,0.482,0.337,0.799,0.54,0.49,F,JR,jalen-wilson-1
10,Taevion Kinsey,706,2022-23,Marshall,32,32,1209,271,500,252,453,19,47,145,195,49,108,157,173,55,16,69,51,706,0.542,0.556,0.404,0.744,0.596,0.561,G,SR,taevion-kinsey-1
11,Elijah Pepper,697,2022-23,UC Davis,31,31,1100,230,512,162,301,68,211,169,207,35,149,184,105,51,7,107,63,697,0.449,0.538,0.322,0.816,0.571,0.516,G,SR,elijah-pepper-1
12,Brandon Miller,696,2022-23,Alabama,37,37,1208,222,516,116,240,106,276,146,170,76,229,305,77,33,32,81,87,696,0.43,0.483,0.384,0.859,0.583,0.533,F,FR,brandon-miller-3
13,Azuolas Tubelis,694,2022-23,Arizona,35,34,1054,274,481,264,449,10,32,136,178,93,227,320,70,40,24,84,98,694,0.57,0.588,0.313,0.764,0.614,0.58,F,JR,azuolas-tubelis-1
14,James Bishop IV,691,2022-23,George Washington,32,32,1206,240,559,176,345,64,214,147,192,10,64,74,165,27,8,94,52,691,0.429,0.51,0.299,0.766,0.531,0.487,G,SR,james-bishop-2
15,Rayj Dennis,683,2022-23,Toledo,35,35,1184,265,547,212,402,53,145,100,130,28,124,152,202,52,6,68,68,683,0.484,0.527,0.366,0.769,0.561,0.533,G,SR,rayj-dennis-1
16,Josh Cohen,676,2022-23,Saint Francis (PA),31,31,1049,257,439,257,438,0,1,162,247,79,177,256,77,28,27,55,78,676,0.585,0.587,0,0.656,0.608,0.585,F,JR,josh-cohen-1
17,Xavier Castaneda,674,2022-23,Akron,31,31,1041,176,424,66,142,110,282,212,246,24,109,133,90,30,3,67,52,674,0.415,0.465,0.39,0.862,0.623,0.545,G,SR,xavier-castaneda-1
18,Adama Sanogo,671,2022-23,Connecticut,39,39,1035,277,457,258,405,19,52,98,128,102,197,299,49,27,32,75,104,671,0.606,0.637,0.365,0.766,0.648,0.627,F,JR,adama-sanogo-1
19,Trayce Jackson-Davis,670,2022-23,Indiana,32,32,1105,262,451,262,451,0,0,146,210,91,255,346,129,27,92,81,54,670,0.581,0.581,,0.695,0.608,0.581,F,SR,trayce-jackson-davis-1
20,Cameron Shelton,664,2022-23,Loyola Marymount,31,31,1102,243,495,188,350,55,145,123,175,37,131,168,133,57,5,78,79,664,0.491,0.537,0.379,0.703,0.574,0.546,G,SR,cameron-shelton-1
