Rk,Player,PTS,Team,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Class,Player-additional
1,Eric Dixon,815,Villanova,35,35,1218,269,597,166,344,103,253,174,214,50,130,180,67,29,10,75,70,815,0.451,0.483,0.407,0.813,0.583,0.537,F,SR,eric-dixon-1
2,Jaron Pierre Jr.,777,Jacksonville State,36,36,1352,266,628,162,356,104,272,141,174,24,175,199,136,24,13,103,54,777,0.424,0.455,0.382,0.81,0.547,0.506,G,SR,jaron-pierrejr-1
3,PJ Haggerty,759,Memphis,35,35,1282,248,521,209,414,39,107,224,274,40,162,202,131,64,3,116,80,759,0.476,0.505,0.364,0.818,0.583,0.513,G,SO,pj-haggerty-1
4,Trent McLaughlin,752,Northern Arizona,34,34,1246,259,612,159,323,100,289,134,185,15,106,121,115,58,8,60,64,752,0.423,0.492,0.346,0.724,0.537,0.505,G,SR,trenton-mclaughlin-1
5,John Tonje,724,Wisconsin,37,37,1151,204,439,119,220,85,219,231,254,29,166,195,67,27,8,68,63,724,0.465,0.541,0.388,0.909,0.647,0.562,G,SR,john-tonje-1
6,Trey Kaufman-Renn,723,Purdue,36,36,1107,292,491,289,484,3,7,136,210,94,140,234,78,25,11,79,105,723,0.595,0.597,0.429,0.648,0.612,0.598,F,JR,trey-kaufman-renn-1
7,Donovan Dent,715,New Mexico,35,35,1235,255,520,228,454,27,66,178,227,13,69,82,224,48,30,108,45,715,0.49,0.502,0.409,0.784,0.569,0.516,G,JR,donovan-dent-1
8,Brice Williams,713,Nebraska,35,35,1192,228,484,160,300,68,184,189,214,19,123,142,100,38,10,83,63,713,0.471,0.533,0.37,0.883,0.609,0.541,G,SR,brice-williams-1
9,Walter Clayton Jr.,713,Florida,39,39,1271,235,524,118,221,117,303,126,144,14,130,144,163,46,20,94,73,713,0.448,0.534,0.386,0.875,0.602,0.56,G,SR,walter-claytonjr-1
10,Cooper Flagg,709,Duke,37,37,1135,239,497,187,362,52,135,179,213,49,228,277,156,52,50,78,70,709,0.481,0.517,0.385,0.84,0.593,0.533,F,FR,cooper-flagg-1
11,Maxime Raynaud,707,Stanford,35,35,1173,263,563,196,370,67,193,114,148,95,276,371,58,30,50,84,71,707,0.467,0.53,0.347,0.77,0.558,0.527,F,SR,maxime-raynaud-1
12,Jacob Ognacevic,701,Lipscomb,35,35,1181,242,421,193,299,49,122,168,210,62,217,279,48,10,14,64,51,701,0.575,0.645,0.402,0.8,0.673,0.633,F,SR,jacob-ognacevic-1
