Player,Team,Affiliation,Year,Round Number,Round Pick,Overall Pick
Cooper Flagg,Dallas Mavericks,Duke,2025,1,1,1
Dylan Harper,San Antonio Spurs,Rutgers,2025,1,2,2
VJ Edgecombe,Philadelphia 76ers,Baylor,2025,1,3,3
Kon Knueppel,Charlotte Hornets,Duke,2025,1,4,4
Ace Bailey,Utah Jazz,Rutgers,2025,1,5,5
Tre Johnson,Washington Wizards,Texas,2025,1,6,6
Jeremiah Fears,New Orleans Pelicans,Oklahoma,2025,1,7,7
Egor Dëmin,Brooklyn Nets,Brigham Young,2025,1,8,8
Collin Murray-Boyles,Toronto Raptors,South Carolina,2025,1,9,9
Khaman Maluach,Houston Rockets,Duke,2025,1,10,10
Cedric Coward,Portland Trail Blazers,Washington State,2025,1,11,11
Noa Essengue,Chicago Bulls,Ratiopharm Ulm (Germany),2025,1,12,12
Derik Queen,Atlanta Hawks,Maryland,2025,1,13,13
Carter Bryant,San Antonio Spurs,Arizona,2025,1,14,14
Thomas Sorber,Oklahoma City Thunder,Georgetown,2025,1,15,15
Yang Hansen,Memphis Grizzlies,Qingdao (China),2025,1,16,16
Joan Beringer,Minnesota Timberwolves,Cedevita Olimpija (Slovenia),2025,1,17,17
Walter Clayton Jr.,Washington Wizards,Florida,2025,1,18,18
Nolan Traore,Brooklyn Nets,Saint-Quentin BB (France),2025,1,19,19
Kasparas Jakučionis,Miami Heat,Illinois,2025,1,20,20
Will Riley,Utah Jazz,Illinois,2025,1,21,21
Drake Powell,Atlanta Hawks,North Carolina,2025,1,22,22
Asa Newell,New Orleans Pelicans,Georgia,2025,1,23,23
Nique Clifford,Oklahoma City Thunder,Colorado State,2025,1,24,24
Jase Richardson,Orlando Magic,Michigan State,2025,1,25,25
Ben Saraf,Brooklyn Nets,Ratiopharm Ulm (Germany),2025,1,26,26
Danny Wolf,Brooklyn Nets,Michigan,2025,1,27,27
Hugo González,Boston Celtics,Real Madrid Baloncesto (Spain),2025,1,28,28
Liam McNeeley,Phoenix Suns,Connecticut,2025,1,29,29
Yanic Konan Niederhäuser,LA Clippers,Penn State,2025,1,30,30
Rasheer Fleming,Minnesota Timberwolves,Saint Joseph's,2025,2,1,31
Noah Penda,Boston Celtics,Le Mans Sarthe Basket (France),2025,2,2,32
Sion James,Charlotte Hornets,Duke,2025,2,3,33
Ryan Kalkbrenner,Charlotte Hornets,Creighton,2025,2,4,34
Johni Broome,Philadelphia 76ers,Auburn,2025,2,5,35
Adou Thiero,Brooklyn Nets,Arkansas,2025,2,6,36
Chaz Lanier,Detroit Pistons,Tennessee,2025,2,7,37
Kam Jones,San Antonio Spurs,Marquette,2025,2,8,38
Alijah Martin,Toronto Raptors,Florida,2025,2,9,39
Micah Peavy,Washington Wizards,Georgetown,2025,2,10,40
Koby Brea,Golden State Warriors,Kentucky,2025,2,11,41
Maxime Raynaud,Sacramento Kings,Stanford,2025,2,12,42
Jamir Watkins,Washington Wizards,Florida State,2025,2,13,43
Brooks Barnhizer,Oklahoma City Thunder,Northwestern,2025,2,14,44
Rocco Zikarsky,Chicago Bulls,Brisbane (Australia),2025,2,15,45
Amari Williams,Orlando Magic,Kentucky,2025,2,16,46
Bogoljub Marković,Milwaukee Bucks,KK Mega Leks (Serbia),2025,2,17,47
Javon Small,Memphis Grizzlies,West Virginia,2025,2,18,48
Tyrese Proctor,Cleveland Cavaliers,Duke,2025,2,19,49
Kobe Sanders,New York Knicks,Nevada-Reno,2025,2,20,50
Mohamed Diawara,LA Clippers,Cholet Basket (France),2025,2,21,51
Alex Toohey,Phoenix Suns,Sydney (Australia),2025,2,22,52
John Tonje,Utah Jazz,Wisconsin,2025,2,23,53
Taelon Peter,Indiana Pacers,Liberty,2025,2,24,54
Lachlan Olbrich,Los Angeles Lakers,Illawarra (Australia),2025,2,25,55
Will Richard,Memphis Grizzlies,Florida,2025,2,26,56
Max Shulga,Orlando Magic,Virginia Commonwealth,2025,2,27,57
Saliou Niang,Cleveland Cavaliers,Trento (Italy),2025,2,28,58
Jahmai Mashack,Houston Rockets,Tennessee,2025,2,29,59
Zaccharie Risacher,Atlanta Hawks,JL Bourg (France),2024,1,1,1
Alex Sarr,Washington Wizards,Perth Wildcats (Australia),2024,1,2,2
Reed Sheppard,Houston Rockets,Kentucky,2024,1,3,3
Stephon Castle,San Antonio Spurs,Connecticut,2024,1,4,4
Ronald Holland II,Detroit Pistons,Ignite (G League),2024,1,5,5
Tidjane Salaün,Charlotte Hornets,Cholet Basket (France),2024,1,6,6
Donovan Clingan,Portland Trail Blazers,Connecticut,2024,1,7,7
Rob Dillingham,San Antonio Spurs,Kentucky,2024,1,8,8
Zach Edey,Memphis Grizzlies,Purdue,2024,1,9,9
Cody Williams,Utah Jazz,Colorado,2024,1,10,10
Matas Buzelis,Chicago Bulls,Ignite (G League),2024,1,11,11
Nikola Topić,Oklahoma City Thunder,KK Crvena zvezda (Serbia),2024,1,12,12
Devin Carter,Sacramento Kings,Providence,2024,1,13,13
Bub Carrington,Portland Trail Blazers,Pittsburgh,2024,1,14,14
Kel'el Ware,Miami Heat,Indiana,2024,1,15,15
Jared McCain,Philadelphia 76ers,Duke,2024,1,16,16
Dalton Knecht,Los Angeles Lakers,Tennessee,2024,1,17,17
Tristan da Silva,Orlando Magic,Colorado,2024,1,18,18
Ja'Kobe Walter,Toronto Raptors,Baylor,2024,1,19,19
Jaylon Tyson,Cleveland Cavaliers,California,2024,1,20,20
Yves Missi,New Orleans Pelicans,Baylor,2024,1,21,21
DaRon Holmes II,Phoenix Suns,Dayton,2024,1,22,22
AJ Johnson,Milwaukee Bucks,Illawarra (Australia),2024,1,23,23
Kyshawn George,New York Knicks,Miami (FL),2024,1,24,24
Pacôme Dadiet,New York Knicks,Ratiopharm Ulm (Germany),2024,1,25,25
Dillon Jones,Washington Wizards,Weber State,2024,1,26,26
Terrence Shannon Jr.,Minnesota Timberwolves,Illinois,2024,1,27,27
Ryan Dunn,Denver Nuggets,Virginia,2024,1,28,28
Isaiah Collier,Utah Jazz,Southern California,2024,1,29,29
Baylor Scheierman,Boston Celtics,Creighton,2024,1,30,30
Jonathan Mogbo,Toronto Raptors,San Francisco,2024,2,1,31
Kyle Filipowski,Utah Jazz,Duke,2024,2,2,32
Tyler Smith,Milwaukee Bucks,Ignite (G League),2024,2,3,33
Tyler Kolek,Portland Trail Blazers,Marquette,2024,2,4,34
Johnny Furphy,San Antonio Spurs,Kansas,2024,2,5,35
Juan Nunez,Indiana Pacers,Ratiopharm Ulm (Germany),2024,2,6,36
Bobi Klintman,Minnesota Timberwolves,Cairns Taipans (Australia),2024,2,7,37
Ajay Mitchell,New York Knicks,California-Santa Barbara,2024,2,8,38
Jaylen Wells,Memphis Grizzlies,Washington State,2024,2,9,39
Oso Ighodaro,Portland Trail Blazers,Marquette,2024,2,10,40
Adem Bona,Philadelphia 76ers,California-Los Angeles,2024,2,11,41
KJ Simpson,Charlotte Hornets,Colorado,2024,2,12,42
Nikola Đurišić,Miami Heat,KK Mega Leks (Serbia),2024,2,13,43
Pelle Larsson,Houston Rockets,Arizona,2024,2,14,44
Jamal Shead,Sacramento Kings,Houston,2024,2,15,45
Cam Christie,LA Clippers,Minnesota,2024,2,16,46
Antonio Reeves,Orlando Magic,Kentucky,2024,2,17,47
Harrison Ingram,San Antonio Spurs,North Carolina,2024,2,18,48
Tristen Newton,Indiana Pacers,Connecticut,2024,2,19,49
Enrique Freeman,Indiana Pacers,Akron,2024,2,20,50
Melvin Ajinca,New York Knicks,Saint-Quentin BB (France),2024,2,21,51
Quinten Post,Golden State Warriors,Boston College,2024,2,22,52
Cam Spencer,Detroit Pistons,Connecticut,2024,2,23,53
Anton Watson,Boston Celtics,Gonzaga,2024,2,24,54
Bronny James,Los Angeles Lakers,Southern California,2024,2,25,55
Kevin McCullar Jr.,Phoenix Suns,Kansas,2024,2,26,56
Ulrich Chomche,Memphis Grizzlies,APR BBC (Rwanda),2024,2,27,57
Ariel Hukporti,Dallas Mavericks,MHP Riesen (Germany),2024,2,28,58
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
