,Player,Team,Affiliation,Year,Round Number,Round Pick,Overall Pick
0,Victor Wembanyama,San Antonio Spurs,Metropolitans 92 (France),2023.0,1.0,1.0,1.0
1,Brandon Miller,Charlotte Hornets,Alabama,2023.0,1.0,2.0,2.0
2,Scoot Henderson,Portland Trail Blazers,Ignite (G League),2023.0,1.0,3.0,3.0
3,Amen Thompson,Houston Rockets,Overtime Elite,2023.0,1.0,4.0,4.0
4,Ausar Thompson,Detroit Pistons,Overtime Elite,2023.0,1.0,5.0,5.0
5,Anthony Black,Orlando Magic,Arkansas,2023.0,1.0,6.0,6.0
6,Bilal Coulibaly,Indiana Pacers,Metropolitans 92 (France),2023.0,1.0,7.0,7.0
7,Jarace Walker,Washington Wizards,Houston,2023.0,1.0,8.0,8.0
8,Taylor Hendricks,Utah Jazz,Central Florida,2023.0,1.0,9.0,9.0
9,Cason Wallace,Dallas Mavericks,Kentucky,2023.0,1.0,10.0,10.0
10,Jett Howard,Orlando Magic,Michigan,2023.0,1.0,11.0,11.0
11,Dereck Lively II,Oklahoma City Thunder,Duke,2023.0,1.0,12.0,12.0
12,Gradey Dick,Toronto Raptors,Kansas,2023.0,1.0,13.0,13.0
13,Jordan Hawkins,New Orleans Pelicans,Connecticut,2023.0,1.0,14.0,14.0
14,Kobe Bufkin,Atlanta Hawks,Michigan,2023.0,1.0,15.0,15.0
15,Keyonte George,Utah Jazz,Baylor,2023.0,1.0,16.0,16.0
16,Jalen Hood-Schifino,Los Angeles Lakers,Indiana,2023.0,1.0,17.0,17.0
17,Jaime Jaquez Jr.,Miami Heat,California-Los Angeles,2023.0,1.0,18.0,18.0
18,Brandin Podziemski,Golden State Warriors,Santa Clara,2023.0,1.0,19.0,19.0
19,Cam Whitmore,Houston Rockets,Villanova,2023.0,1.0,20.0,20.0
20,Noah Clowney,Brooklyn Nets,Alabama,2023.0,1.0,21.0,21.0
21,Dariq Whitehead,Brooklyn Nets,Duke,2023.0,1.0,22.0,22.0
22,Kris Murray,Portland Trail Blazers,Iowa,2023.0,1.0,23.0,23.0
23,Olivier-Maxence Prosper,Sacramento Kings,Marquette,2023.0,1.0,24.0,24.0
24,Marcus Sasser,Memphis Grizzlies,Houston,2023.0,1.0,25.0,25.0
25,Ben Sheppard,Indiana Pacers,Belmont,2023.0,1.0,26.0,26.0
26,Nick Smith Jr.,Charlotte Hornets,Arkansas,2023.0,1.0,27.0,27.0
27,Brice Sensabaugh,Utah Jazz,Ohio State,2023.0,1.0,28.0,28.0
28,Julian Strawther,Indiana Pacers,Gonzaga,2023.0,1.0,29.0,29.0
29,Kobe Brown,LA Clippers,Missouri,2023.0,1.0,30.0,30.0
30,James Nnaji,Detroit Pistons,FC Barcelona Basquet (Spain),2023.0,2.0,1.0,31.0
31,Jalen Pickett,Indiana Pacers,Penn State,2023.0,2.0,2.0,32.0
32,Leonard Miller,San Antonio Spurs,Ignite (G League),2023.0,2.0,3.0,33.0
33,Colby Jones,Charlotte Hornets,Xavier,2023.0,2.0,4.0,34.0
34,Julian Phillips,Boston Celtics,Tennessee,2023.0,2.0,5.0,35.0
35,Andre Jackson Jr.,Orlando Magic,Connecticut,2023.0,2.0,6.0,36.0
36,Hunter Tyson,Oklahoma City Thunder,Clemson,2023.0,2.0,7.0,37.0
37,Jordan Walsh,Sacramento Kings,Arkansas,2023.0,2.0,8.0,38.0
38,Mouhamed Gueye,Charlotte Hornets,Washington State,2023.0,2.0,9.0,39.0
39,Maxwell Lewis,Denver Nuggets,Pepperdine,2023.0,2.0,10.0,40.0
40,Amari Bailey,Charlotte Hornets,California-Los Angeles,2023.0,2.0,11.0,41.0
41,Tristan Vukcevic,Washington Wizards,Real Madrid Baloncesto (Spain),2023.0,2.0,12.0,42.0
42,Rayan Rupert,Portland Trail Blazers,Breakers (New Zealand),2023.0,2.0,13.0,43.0
43,Sidy Cissoko,San Antonio Spurs,Ignite (G League),2023.0,2.0,14.0,44.0
44,GG Jackson,Memphis Grizzlies,South Carolina,2023.0,2.0,15.0,45.0
45,Seth Lundy,Atlanta Hawks,Penn State,2023.0,2.0,16.0,46.0
46,Mojave King,Los Angeles Lakers,Ignite (G League),2023.0,2.0,17.0,47.0
47,Jordan Miller,LA Clippers,Miami (FL),2023.0,2.0,18.0,48.0
48,Emoni Bates,Cleveland Cavaliers,Eastern Michigan,2023.0,2.0,19.0,49.0
