season_year,start_date
1960,1960-10-01
1961,1961-10-01
1962,1962-10-01
1963,1963-10-01
1964,1964-10-01
1965,1965-10-01
1966,1966-10-01
1967,1967-10-01
1968,1968-10-01
1969,1969-10-01
1970,1970-10-01
1971,1971-10-01
1972,1972-10-01
1973,1973-10-01
1974,1974-10-01
1975,1975-10-01
1976,1976-10-01
1977,1977-10-01
1978,1978-10-01
1979,1979-10-01
1980,1980-10-01
1981,1981-10-01
1982,1982-10-01
1983,1983-10-01
1984,1984-10-01
1985,1985-10-01
1986,1986-10-01
1987,1987-10-01
1988,1988-10-01
1989,1989-10-01
1990,1990-10-01
1991,1991-10-01
1992,1992-10-01
1993,1993-10-01
1994,1994-10-01
1995,1995-10-01
1996,1996-10-01
1997,1997-10-01
1998,1998-10-01
1999,1999-10-01
2000,2000-10-01
2001,2001-10-01
2002,2002-10-01
2003,2003-10-01
2004,2004-10-01
2005,2005-10-01
2006,2006-10-01
2007,2007-10-01
2008,2008-10-01
2009,2009-10-01
2010,2010-10-01
2011,2011-10-01
2012,2012-10-01
2013,2013-10-01
2014,2014-10-01
2015,2015-10-01
2016,2016-10-01
2017,2017-10-01
2018,2018-10-01
2019,2019-10-01
2020,2020-10-01
2021,2021-10-01
2022,2022-10-01
2023,2023-10-01
2024,2024-10-01
2025,2025-10-01
