,Player,Season,School,Conf,Class,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,SOS,Rk,PTS.1,TS%,eFG%,Pos,Player-additional
0,Paolo Banchero,2021-22,Duke,ACC,FR,39.0,39.0,33.0,6.3,13.2,0.478,5.2,9.8,0.525,1.1,3.3,0.338,3.5,4.8,0.729,1.7,6.1,7.8,3.2,1.1,0.9,2.4,1.9,17.2,,7.26,,,,,,
1,Chet Holmgren,2021-22,Gonzaga,WCC,FR,32.0,31.0,26.9,5.3,8.8,0.607,4.0,5.5,0.737,1.3,3.3,0.39,2.2,3.1,0.717,1.8,8.1,9.9,1.9,0.8,3.7,1.9,2.7,14.1,,4.5,,,,,,
2,Jabari Smith Jr.,2021-22,Auburn,SEC,FR,34.0,34.0,28.8,5.4,12.6,0.429,3.1,7.0,0.435,2.3,5.5,0.42,3.9,4.8,0.799,0.9,6.5,7.4,2.0,1.1,1.0,1.9,2.1,16.9,,8.17,,,,,,
3,Keegan Murray,2020-21,Iowa,Big Ten,FR,31.0,4.0,18.0,2.7,5.4,0.506,2.2,3.6,0.607,0.5,1.7,0.296,1.3,1.7,0.755,1.6,3.5,5.1,0.5,0.8,1.3,0.6,1.9,7.2,,10.43,,,,,,
4,Keegan Murray,2021-22,Iowa,Big Ten,SO,35.0,35.0,31.9,8.8,15.8,0.554,6.9,11.1,0.621,1.9,4.7,0.398,4.1,5.4,0.747,2.9,5.8,8.7,1.5,1.3,1.9,1.1,1.9,23.5,,6.87,,,,,,
5,Jaden Ivey,2020-21,Purdue,Big Ten,FR,23.0,12.0,24.2,3.9,9.7,0.399,2.8,5.5,0.508,1.1,4.2,0.258,2.3,3.2,0.726,0.8,2.5,3.3,1.9,0.7,0.7,1.3,1.7,11.1,,11.23,,,,,,
6,Jaden Ivey,2021-22,Purdue,Big Ten,SO,36.0,34.0,31.4,5.6,12.3,0.46,3.9,7.3,0.531,1.8,5.0,0.358,4.3,5.8,0.744,0.7,4.2,4.9,3.1,0.9,0.6,2.6,1.8,17.3,,8.23,,,,,,
7,Bennedict Mathurin,2020-21,Arizona,Pac-12,FR,26.0,12.0,25.0,3.4,7.2,0.471,1.9,3.7,0.521,1.5,3.5,0.418,2.5,3.0,0.846,1.2,3.5,4.8,1.2,0.7,0.1,1.2,1.7,10.8,,8.18,,,,,,
8,Bennedict Mathurin,2021-22,Arizona,Pac-12,SO,37.0,37.0,32.5,5.9,13.1,0.45,3.6,7.0,0.521,2.2,6.1,0.369,3.7,4.8,0.764,1.4,4.2,5.6,2.5,1.0,0.3,1.8,1.8,17.7,,6.84,,,,,,
9,Jeremy Sochan,2021-22,Baylor,Big 12,FR,30.0,1.0,25.1,3.3,7.0,0.474,2.5,4.3,0.585,0.8,2.7,0.296,1.8,3.0,0.589,2.0,4.4,6.4,1.8,1.3,0.7,1.6,2.3,9.2,,8.76,,,,,,
10,Johnny Davis,2020-21,Wisconsin,Big Ten,FR,31.0,0.0,24.3,2.8,6.3,0.441,2.3,5.1,0.453,0.5,1.2,0.389,1.0,1.4,0.727,1.1,3.0,4.1,1.1,1.1,0.6,1.1,2.1,7.0,,11.93,,,,,,
11,Johnny Davis,2021-22,Wisconsin,Big Ten,SO,31.0,31.0,34.2,6.8,15.9,0.427,5.6,12.0,0.466,1.2,3.9,0.306,5.0,6.3,0.791,1.3,6.9,8.2,2.1,1.2,0.7,2.3,2.0,19.7,,9.16,,,,,,
