,games_played,player_id,season,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,fg_pct,fg3_pct,ft_pct,first_name,last_name,position,height_feet,height_inches,weight_pounds,team_id,team_abbreviation,team_city,team_conference,team_division,team_full_name,team_name
0,82,513,1991,38:55,7.16,15.99,0.6,1.46,5.02,5.79,1.0,1.29,2.29,4.57,0.87,0.15,2.35,1.77,19.94,0.448,0.408,0.867,Joe,Dumars,,,,,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
1,51,680,1991,6:25,0.84,2.2,0.25,0.59,0.29,0.35,0.31,0.49,0.8,0.33,0.14,0.04,0.25,0.69,2.24,0.384,0.433,0.833,Corey,Crowder,,,,,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
2,80,2986,1991,14:05,1.84,4.3,0.0,0.0,0.91,1.11,1.15,3.13,4.28,0.45,0.36,0.14,0.78,1.85,4.59,0.427,0.0,0.82,Sidney,Green,,,,,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
3,64,2925,1991,22:59,3.25,6.95,0.0,0.0,1.5,2.48,1.45,3.61,5.06,1.36,0.34,0.22,1.17,2.05,8.0,0.467,0.0,0.604,Bill,Cartwright,,,,,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
4,82,585,1991,27:05,4.41,9.59,0.0,0.04,1.9,2.76,1.84,4.22,6.06,1.21,0.46,0.45,1.74,3.22,10.73,0.461,0.0,0.69,Kevin,Duckworth,,,,,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
5,64,700,1991,20:19,2.41,4.36,0.0,0.02,1.36,2.38,2.47,3.94,6.41,0.47,0.42,1.16,0.77,2.98,6.17,0.552,0.0,0.572,Dale,Davis,,,,,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
6,77,2948,1991,26:14,6.55,13.48,0.96,2.38,1.65,1.97,0.74,2.62,3.36,2.3,1.21,0.26,1.74,2.03,15.7,0.486,0.404,0.836,Dell,Curry,,,,,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
7,81,536,1991,28:11,5.35,10.25,0.48,1.27,1.4,1.8,1.06,2.62,3.68,1.69,1.0,0.57,1.51,2.91,12.57,0.522,0.379,0.774,Blue,Edwards,,,,,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
8,60,2884,1991,8:29,0.72,1.45,0.02,0.02,0.5,0.67,0.37,1.23,1.6,0.42,0.17,0.27,0.52,2.05,1.95,0.494,1.0,0.75,Greg,Dreiling,,,,,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
9,79,2952,1991,36:47,8.43,18.06,0.08,0.32,3.59,4.82,2.09,3.0,5.09,4.16,1.95,0.58,2.28,3.0,20.53,0.467,0.24,0.745,Kendall,Gill,,,,,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
10,58,542,1991,18:32,1.93,4.22,0.0,0.0,1.05,1.48,1.71,3.28,4.98,0.57,0.14,0.84,0.83,1.78,4.91,0.457,0.0,0.709,James,Donaldson,,,,,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
11,82,2893,1991,23:11,2.32,5.76,0.0,0.0,0.98,2.09,4.18,4.83,9.01,0.71,0.46,2.18,0.96,3.35,5.61,0.403,0.0,0.468,Chris,Dudley,,,,,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
12,48,702,1991,18:51,3.56,6.75,0.0,0.0,1.98,2.96,2.4,3.27,5.67,0.69,0.85,1.1,1.79,2.9,9.1,0.528,0.0,0.669,Bison,Dele,,,,,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
13,65,3041,1991,22:30,5.46,11.68,0.11,0.54,2.14,2.88,0.6,2.14,2.74,1.92,0.72,0.11,1.15,2.23,13.17,0.468,0.2,0.743,Ledell,Eackles,,,,,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
14,82,2953,1991,27:06,5.16,9.74,0.0,0.02,2.39,3.48,2.16,4.91,7.07,1.6,0.72,0.84,1.71,3.33,12.71,0.529,0.0,0.688,Kenny,Gattison,,,,,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
15,73,2860,1991,36:12,7.89,13.84,0.0,0.03,5.67,7.3,2.62,7.79,10.41,3.59,0.89,1.07,2.53,2.6,21.45,0.57,0.0,0.777,Brad,Daugherty,,,,,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
16,79,2911,1991,21:21,3.43,6.97,0.05,0.06,0.7,0.87,2.03,4.46,6.48,0.9,0.47,0.39,0.84,2.09,7.61,0.492,0.8,0.797,Loy,Vaught,,,,,13,LAC,LA,West,Pacific,LA Clippers,Clippers
17,81,2946,1991,34:12,6.32,12.36,0.0,0.02,4.23,5.25,2.89,5.26,8.15,1.46,0.63,1.05,2.05,2.17,16.88,0.511,0.0,0.807,Armen,Gilliam,,,,,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
18,68,622,1991,31:36,3.76,7.81,0.0,0.07,2.66,4.19,3.35,6.53,9.88,0.84,0.38,0.43,1.72,2.97,10.19,0.482,0.0,0.635,Terry,Davis,,,,,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
19,82,2856,1991,30:26,5.85,11.07,0.11,0.38,1.7,1.91,0.98,2.51,3.49,2.67,0.91,0.45,1.18,2.44,13.51,0.529,0.29,0.885,Kevin,Gamble,,,,,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
20,71,518,1991,13:09,2.51,5.08,0.0,0.0,1.07,1.42,1.14,2.52,3.66,0.42,0.35,0.24,0.93,1.86,6.08,0.493,0.0,0.752,Alaa,Abdelnaby,,,,,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
21,72,2901,1991,35:23,5.96,13.79,0.17,0.75,1.75,2.46,1.4,2.33,3.74,6.83,2.36,0.56,2.11,2.53,13.83,0.432,0.222,0.712,Mookie,Blaylock,,,,,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
22,72,581,1991,19:57,3.47,7.47,0.0,0.01,2.75,3.76,0.76,2.04,2.81,0.74,0.33,0.46,1.0,3.28,9.69,0.465,0.0,0.731,James,Edwards,,,,,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
23,37,682,1991,7:17,1.16,2.62,0.05,0.3,0.46,0.57,0.35,0.7,1.05,0.3,0.22,0.05,0.49,0.51,2.84,0.443,0.182,0.81,Kevin,Brooks,,,,,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
24,81,3023,1991,18:59,4.4,10.43,0.38,1.16,1.16,1.33,0.27,1.14,1.41,2.37,0.54,0.05,1.44,1.6,10.33,0.421,0.33,0.87,Mahmoud,Abdul-Rauf,,,,,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
25,82,559,1991,13:11,2.04,4.56,0.39,1.1,0.62,0.77,0.33,0.88,1.21,2.5,0.8,0.09,0.62,1.0,5.09,0.447,0.356,0.81,Scott,Brooks,,,,,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
26,79,3056,1991,21:13,2.8,5.37,0.29,0.89,1.96,2.3,0.87,2.0,2.87,2.2,0.86,0.19,1.05,2.01,7.85,0.521,0.329,0.852,Mario,Elie,,,,,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
27,22,524,1991,5:13,0.68,1.14,0.0,0.0,0.18,0.27,0.59,0.95,1.55,0.09,0.23,0.18,0.14,0.45,1.55,0.6,0.0,0.667,Anthony,Cook,,,,,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
28,33,2876,1991,13:00,1.15,2.61,0.15,0.55,0.33,0.45,0.12,0.88,1.0,2.0,0.33,0.09,0.82,1.73,2.79,0.442,0.278,0.733,Brad,Davis,,,,,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
29,75,587,1991,24:17,5.11,11.61,0.21,0.72,1.03,1.67,1.43,2.04,3.47,2.33,0.88,0.4,1.37,2.28,11.45,0.44,0.296,0.616,Gerald,Glass,,,,,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
30,31,2850,1991,28:29,4.81,11.29,0.16,0.71,1.94,2.52,0.48,2.06,2.55,5.29,1.06,0.23,1.9,2.39,11.71,0.426,0.227,0.769,Dee,Brown,,,,,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
31,68,594,1991,13:37,1.15,2.22,0.01,0.04,0.75,0.99,1.43,2.28,3.71,0.32,0.37,0.22,0.49,2.06,3.06,0.517,0.333,0.761,Mark,Acres,,,,,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
32,82,2969,1991,30:00,3.74,6.61,0.0,0.06,1.29,2.09,3.24,5.63,8.88,1.12,1.21,0.67,0.95,2.89,8.78,0.566,0.0,0.62,Michael,Cage,,,,,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
33,54,662,1991,11:20,2.17,3.81,0.0,0.07,1.33,2.02,1.39,1.98,3.37,0.3,0.57,0.67,0.81,1.87,5.67,0.568,0.0,0.661,Chris,Gatling,,,,,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
34,22,2955,1991,25:46,5.14,11.45,0.36,1.32,1.64,2.41,0.45,2.18,2.64,4.05,0.68,0.36,2.05,2.32,12.27,0.448,0.276,0.679,Rex,Chapman,,,,,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
35,10,657,1991,14:00,1.8,3.3,0.0,0.0,1.0,1.5,0.8,1.8,2.6,0.8,0.5,0.4,0.5,2.4,4.6,0.545,0.0,0.667,Tellis,Frank,,,,,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
36,78,575,1991,35:50,6.22,15.81,1.6,4.95,4.01,4.62,0.74,3.23,3.97,7.62,1.86,0.12,2.72,2.08,18.05,0.393,0.324,0.869,Michael,Adams,,,,,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
37,76,678,1991,15:27,2.46,5.68,0.18,0.64,0.74,1.0,0.86,1.32,2.17,0.89,0.37,0.37,0.61,1.43,5.84,0.433,0.286,0.737,Rafael,Addison,,,,,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
38,75,2869,1991,21:05,4.52,10.49,0.2,0.95,2.11,3.07,0.89,2.25,3.15,1.68,0.68,0.15,1.4,2.28,11.35,0.431,0.211,0.687,Mark,Aguirre,,,,,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
39,81,502,1991,19:41,3.69,8.35,0.96,2.84,1.33,1.62,0.49,1.33,1.83,2.49,0.9,0.15,0.86,1.83,9.68,0.442,0.339,0.824,Danny,Ainge,,,,,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
40,42,2861,1991,10:15,1.43,3.05,0.0,0.07,0.71,1.17,0.74,1.21,1.95,0.62,0.29,0.17,0.69,1.14,3.57,0.469,0.0,0.612,Chucky,Brown,,,,,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
41,80,663,1991,16:52,3.04,5.74,0.0,0.01,1.29,1.86,1.33,2.88,4.2,0.4,0.56,0.78,1.14,2.2,7.36,0.529,0.0,0.691,Victor,Alexander,,,,,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
42,82,569,1991,21:44,2.7,5.95,0.0,0.01,2.32,3.48,2.28,3.52,5.8,0.99,0.51,0.41,1.28,2.39,7.71,0.453,0.0,0.667,Mike,Brown,,,,,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
43,4,699,1991,5:45,1.0,1.5,0.25,0.75,0.0,0.0,0.0,0.75,0.75,1.5,0.25,0.0,1.0,0.5,2.25,0.667,0.333,0.0,Myron,Brown,,,,,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
44,56,646,1991,9:33,1.38,3.02,0.0,0.11,0.68,1.04,0.46,0.77,1.23,1.05,0.63,0.21,0.75,1.21,3.43,0.456,0.0,0.655,Randy,Brown,,,,,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
45,65,2895,1991,33:57,7.43,14.74,0.35,1.17,4.62,6.05,3.12,6.38,9.51,3.15,0.83,1.51,3.82,2.58,19.83,0.504,0.303,0.763,Derrick,Coleman,,,,,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
46,70,2904,1991,14:48,2.36,5.51,0.01,0.09,1.24,1.51,0.51,0.99,1.5,2.31,0.59,0.04,1.17,1.4,5.97,0.427,0.167,0.821,Tate,George,,,,,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
47,81,670,1991,18:57,2.98,6.48,0.28,0.86,1.72,2.27,0.9,1.81,2.72,1.56,0.96,0.37,1.52,2.84,7.95,0.459,0.329,0.755,Rick,Fox,,,,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
48,82,553,1991,34:03,4.74,10.41,0.0,0.05,2.04,3.27,4.11,7.37,11.48,0.95,1.07,0.79,2.45,3.21,11.52,0.456,0.0,0.623,Greg,Anderson,,,,,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
49,64,697,1991,16:58,2.92,7.5,0.05,0.2,1.14,1.53,0.59,1.39,1.98,3.17,1.05,0.14,1.52,1.06,7.03,0.39,0.231,0.745,Kenny,Anderson,,,,,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
50,60,512,1991,36:43,8.03,17.37,0.5,1.42,3.37,5.05,1.63,4.77,6.4,2.72,1.62,0.55,2.1,2.2,19.93,0.463,0.353,0.667,Nick,Anderson,,,,,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
51,82,2945,1991,29:39,5.72,12.29,0.51,1.55,1.74,1.99,1.17,2.22,3.39,1.65,1.05,0.13,1.33,1.56,13.7,0.465,0.331,0.877,Ron,Anderson,,,,,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
52,82,2989,1991,35:23,4.66,9.79,0.15,0.68,4.15,5.57,3.73,5.56,9.29,1.43,1.11,0.44,1.35,1.72,13.61,0.476,0.214,0.744,A.C.,Green,,,,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
53,57,3039,1991,33:08,5.47,12.02,0.23,0.98,1.88,2.42,1.09,4.18,5.26,5.3,0.95,0.89,2.46,2.65,13.05,0.455,0.232,0.775,Willie,Anderson,,,,,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
54,10,497,1991,4:30,0.8,1.8,0.0,0.0,0.5,0.6,0.2,0.4,0.6,0.2,0.0,0.0,0.3,0.7,2.1,0.444,0.0,0.833,Michael,Ansley,,,,,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
55,82,655,1991,18:24,1.96,5.3,0.1,0.67,1.43,1.93,0.4,1.26,1.66,3.83,0.72,0.11,1.2,2.07,5.45,0.37,0.145,0.741,Greg,Anthony,,,,,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
56,82,2924,1991,22:51,4.09,8.5,0.43,1.06,1.27,1.57,0.23,1.54,1.77,3.24,0.56,0.06,1.15,1.07,9.87,0.481,0.402,0.806,B.J.,Armstrong,,,,,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
57,80,3087,1991,18:42,2.41,4.74,0.01,0.13,1.39,2.0,1.11,1.8,2.91,2.35,0.59,0.29,1.05,1.6,6.23,0.509,0.1,0.694,Vincent,Askew,,,,,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
58,59,3051,1991,14:17,1.42,3.47,0.42,1.24,0.44,0.63,1.1,1.31,2.41,0.64,0.68,0.25,0.8,1.85,3.71,0.41,0.342,0.703,Keith,Askins,,,,,16,MIA,Miami,East,Southeast,Miami Heat,Heat
59,82,673,1991,30:32,5.37,10.96,0.01,0.07,2.6,3.9,2.33,2.79,5.12,2.45,1.51,0.33,2.21,1.96,13.34,0.489,0.167,0.666,Stacey,Augmon,,,,,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
60,67,504,1991,17:33,2.4,5.13,0.0,0.01,0.61,1.15,1.46,2.73,4.19,1.33,0.4,1.48,0.61,1.75,5.42,0.468,0.0,0.532,Randy,Breuer,,,,,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
