,id,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,fg_pct,fg3_pct,ft_pct,season,player_id
0,15531179,30,7,18,5,9,4,4,2,5,7,1,1,0,1,3,23,0.3888889,0.5555556,1.0,2024,70
1,15531180,30,14,18,8,11,1,2,0,4,4,10,1,1,1,1,37,0.7777778,0.7272727,0.5,2024,434
2,15531181,30,4,7,3,5,0,0,0,3,3,5,1,1,0,2,11,0.5714286,0.6,0.0,2024,219
3,15531182,27,8,13,6,10,2,2,0,3,3,4,1,0,0,1,24,0.6153846,0.6,1.0,2024,473
4,15531183,31,7,9,4,6,0,0,2,2,4,4,1,0,0,2,18,0.7777778,0.6666667,0.0,2024,214
5,15531184,24,4,10,2,7,0,0,1,4,5,1,0,0,0,2,10,0.4,0.2857143,0.0,2024,17896060
6,15531185,15,2,3,0,0,0,0,2,1,3,1,1,1,0,0,4,0.6666667,0.0,0.0,2024,261
7,15531186,25,1,10,1,9,0,0,1,3,4,4,0,0,1,2,3,0.1,0.1111111,0.0,2024,3547276
8,15531187,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,2024,17553967
9,15531190,18,1,6,0,3,0,0,3,4,7,2,0,0,0,1,2,0.1666667,0.0,0.0,2024,3547285
10,15531191,6,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,2024,56677864
11,15531196,34,1,7,0,4,2,2,0,5,5,3,1,0,0,3,4,0.1428571,0.0,1.0,2024,18
12,15531197,25,4,6,0,2,4,6,1,3,4,3,0,0,1,0,12,0.6666667,0.0,0.6666667,2024,202
13,15531198,24,5,9,1,2,1,1,0,7,7,3,0,0,0,1,12,0.5555556,0.5,1.0,2024,447
14,15531199,35,7,13,2,7,0,1,0,0,0,2,0,0,1,0,16,0.5384616,0.2857143,0.0,2024,61
15,15531200,24,9,14,1,2,3,3,0,1,1,2,0,0,4,3,22,0.6428571,0.5,1.0,2024,73
16,15531201,13,1,3,1,2,0,0,0,1,1,0,0,0,0,1,3,0.3333333,0.5,0.0,2024,1028025498
17,15531202,6,0,0,0,0,0,0,0,4,4,0,0,1,0,0,0,0.0,0.0,0.0,2024,1028046422
18,15531203,5,1,2,1,1,0,0,0,0,0,0,0,0,2,0,3,0.5,1.0,0.0,2024,1028036898
19,15531204,26,8,10,4,5,2,3,0,0,0,2,0,0,1,1,22,0.8,0.8,0.6666667,2024,17896033
20,15531205,21,5,10,1,4,0,0,1,2,3,4,1,0,1,3,11,0.5,0.25,0.0,2024,368
21,15531206,24,2,3,0,0,0,0,3,6,9,1,0,2,1,0,4,0.6666667,0.0,0.0,2024,17896063
22,15531207,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2024,56677795
23,15531691,35,7,14,1,4,3,4,3,2,5,1,2,1,0,2,18,0.5,0.25,0.75,2024,666609
24,15531692,35,7,16,1,4,1,1,0,5,5,4,0,2,2,3,16,0.4375,0.25,1.0,2024,237
25,15531693,38,11,23,1,3,13,15,3,13,16,4,1,3,1,1,36,0.4782609,0.3333333,0.8666667,2024,117
26,15531694,36,6,14,0,5,0,1,4,5,9,4,1,1,0,4,12,0.4285714,0.0,0.0,2024,17553995
27,15531695,34,4,12,1,7,0,0,0,1,1,5,2,0,1,2,9,0.3333333,0.1428571,0.0,2024,405
28,15531696,11,0,3,0,3,2,2,1,1,2,0,0,0,0,5,2,0.0,0.0,1.0,2024,38017697
29,15531697,15,4,5,0,0,2,2,3,1,4,0,0,1,0,3,10,0.8,0.0,1.0,2024,666626
30,15531699,3,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0.0,0.0,0.0,2024,1028046517
31,15531700,16,2,4,1,3,0,0,0,1,1,2,1,0,1,1,5,0.5,0.3333333,0.0,2024,1028026974
32,15531703,17,1,2,0,0,0,0,0,2,2,2,0,0,2,1,2,0.5,0.0,0.0,2024,1603383
33,15531709,16,3,8,0,3,0,0,0,2,2,1,1,0,1,5,6,0.375,0.0,0.0,2024,3547259
34,15531710,34,5,10,1,3,5,7,3,6,9,4,0,0,2,3,16,0.5,0.3333333,0.7142857,2024,387
35,15531711,35,5,8,0,0,3,4,3,11,14,2,0,1,1,4,13,0.625,0.0,0.75,2024,176
36,15531712,41,10,25,5,13,2,3,0,6,6,3,0,0,4,3,27,0.4,0.3846154,0.6666667,2024,3547238
37,15531713,20,1,7,0,5,3,3,2,2,4,2,1,0,3,1,5,0.1428571,0.0,1.0,2024,104
38,15531714,29,5,7,3,4,1,2,2,3,5,0,0,0,2,0,14,0.7142857,0.75,0.5,2024,666400
39,15531716,32,3,11,2,8,2,4,1,2,3,3,2,0,1,2,10,0.2727273,0.25,0.5,2024,131
40,15531719,7,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0.0,0.0,0.0,2024,226
41,15531722,26,3,8,2,4,4,4,1,3,4,1,0,0,1,3,12,0.375,0.5,1.0,2024,667378
42,15536147,29,4,9,4,7,2,2,0,1,1,1,1,0,0,2,14,0.4444444,0.5714286,1.0,2024,191
43,15536148,36,6,13,1,6,0,0,1,1,2,1,0,1,2,3,13,0.4615385,0.1666667,0.0,2024,200
44,15536149,30,4,4,0,0,5,6,4,9,13,4,0,0,2,3,13,1.0,0.0,0.8333333,2024,38017694
45,15536150,31,5,13,0,2,7,9,4,1,5,4,1,0,1,3,17,0.3846154,0.0,0.7777778,2024,38017682
46,15536151,37,10,23,2,6,6,6,0,5,5,8,1,0,2,2,28,0.435,0.333,1.0,2024,17896075
47,15536152,28,5,13,2,6,2,3,0,3,3,1,0,0,1,2,14,0.3846154,0.3333333,0.6666667,2024,38
48,15536153,15,0,4,0,2,0,0,1,0,1,0,0,0,1,3,0,0.0,0.0,0.0,2024,38017739
49,15536154,15,2,6,0,3,2,2,1,2,3,0,2,0,1,1,6,0.3333333,0.0,1.0,2024,1028026508
50,15536158,3,1,1,0,0,0,0,0,1,1,1,0,0,0,0,2,1.0,0.0,0.0,2024,56677792
51,15536159,17,1,2,0,1,0,0,1,3,4,2,1,1,2,2,2,0.5,0.0,,2024,3547267
52,15536164,19,2,4,1,2,2,2,1,1,2,0,2,1,0,4,7,0.5,0.5,1.0,2024,3547250
53,15536165,32,8,15,1,3,2,3,3,5,8,9,2,0,0,0,19,0.5333334,0.3333333,0.6666667,2024,416
54,15536166,36,7,14,3,8,3,3,0,9,9,4,0,4,4,4,20,0.5,0.375,1.0,2024,452
55,15536167,35,3,8,0,2,2,2,0,2,2,7,1,0,2,3,8,0.375,0.0,1.0,2024,38017507
56,15536168,35,6,18,1,9,2,2,1,4,5,4,3,2,3,2,15,0.3333333,0.1111111,1.0,2024,3547245
57,15536169,7,0,0,0,0,2,2,0,0,0,0,0,0,1,0,2,0.0,0.0,1.0,2024,1028045812
58,15536173,28,5,8,2,3,7,9,1,5,6,1,0,0,3,3,19,0.625,0.6666667,0.7777778,2024,38017686
59,15536174,16,7,8,0,0,0,0,0,2,2,4,1,0,1,0,14,0.875,0.0,0.0,2024,304
60,15536175,6,0,0,0,0,0,0,0,2,2,0,0,1,0,2,0,0.0,0.0,0.0,2024,56677861
61,15536176,16,1,2,0,1,0,0,0,1,1,2,1,0,0,3,2,0.5,0.0,0.0,2024,3547243
62,15536177,6,1,2,1,2,0,0,1,0,1,1,0,0,1,2,3,0.5,0.5,0.0,2024,56677832
63,15536178,4,2,4,0,1,2,2,0,1,1,0,0,0,0,0,6,0.5,0.0,1.0,2024,3547240
64,15536251,26,1,8,0,2,1,2,1,3,4,5,1,1,1,1,3,0.125,0.0,0.5,2024,79
65,15536252,24,7,15,1,7,0,1,1,4,5,1,1,1,1,4,15,0.4666667,0.1428571,0.0,2024,38017696
66,15536282,30,8,18,1,6,4,6,1,1,2,1,0,0,1,5,21,0.4444444,0.1666667,0.6666667,2024,360
67,15536283,15,1,3,0,0,1,2,2,3,5,0,0,0,0,3,3,0.3333333,0.0,0.5,2024,3547294
68,15536284,25,4,8,0,1,2,2,5,8,13,0,0,0,1,5,10,0.5,0.0,1.0,2024,137
69,15536285,22,1,6,0,2,0,0,0,1,1,1,0,0,0,1,2,0.1666667,0.0,0.0,2024,178
70,15536286,39,10,31,2,9,3,4,0,6,6,3,1,1,1,1,25,0.3225806,0.2222222,0.75,2024,3547254
71,15536287,3,1,1,0,0,0,0,1,0,1,0,0,0,0,1,2,1.0,0.0,0.0,2024,1028034846
72,15536288,9,1,2,1,1,4,4,0,1,1,0,0,0,1,1,7,0.5,1.0,1.0,2024,56913527
73,15536289,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2024,17553988
74,15536292,24,4,7,3,5,2,4,0,4,4,6,0,0,0,1,13,0.5714286,0.6,0.5,2024,286
75,15536293,37,5,10,0,1,2,2,4,5,9,3,0,1,3,4,12,0.5,0.0,1.0,2024,666747
76,15536296,23,10,16,3,6,0,0,1,3,4,4,2,1,0,3,23,0.625,0.5,0.0,2024,17896026
77,15536297,31,12,24,4,8,5,6,4,7,11,3,1,1,0,2,33,0.5,0.5,0.8333333,2024,38017683
78,15536298,27,3,7,1,2,1,2,4,10,14,2,2,0,1,2,8,0.4285714,0.5,0.5,2024,85
79,15536302,26,1,5,0,2,7,10,3,2,5,1,0,0,0,1,9,0.2,0.0,0.7,2024,4
80,15536303,29,5,10,2,5,2,2,0,5,5,3,0,1,1,1,14,0.5,0.4,1.0,2024,666633
81,15536304,32,5,15,2,7,7,7,0,6,6,5,0,2,3,0,19,0.3333333,0.2857143,1.0,2024,403
82,15536305,16,2,2,1,1,2,2,0,3,3,2,0,1,1,0,7,1.0,1.0,1.0,2024,74
83,15536307,30,4,8,1,2,0,0,1,4,5,2,2,1,1,3,9,0.5,0.5,0.0,2024,3092
84,15536308,19,4,9,2,2,3,5,2,3,5,3,0,0,2,4,13,0.4444444,1.0,0.6,2024,56677785
85,15536309,6,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1.0,0.0,0.0,2024,1028036986
86,15536312,20,2,7,2,5,0,0,0,1,1,1,0,0,0,4,6,0.2857143,0.4,0.0,2024,397
87,15536313,6,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0.0,0.0,0.0,2024,19465585
88,15536314,6,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,,2024,1028029127
89,15536315,4,2,3,0,1,0,0,1,1,2,0,0,0,0,0,4,0.6666667,0.0,0.0,2024,1028027372
90,15536316,3,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0.0,0.0,0.0,2024,45658838
91,15536317,26,4,8,1,4,1,3,2,2,4,3,3,0,3,6,10,0.5,0.25,0.3333333,2024,488
92,15536320,30,6,7,4,5,0,0,0,5,5,3,0,0,0,2,16,0.8571429,0.8,0.0,2024,383
93,15536321,31,8,11,0,0,9,16,1,13,14,7,0,1,3,4,25,0.7272727,0.0,0.5625,2024,15
94,15536322,26,3,14,0,2,3,4,3,3,6,5,0,0,2,5,9,0.2142857,0.0,0.75,2024,17896055
95,15536323,25,1,1,0,0,1,2,4,2,6,1,1,1,0,2,3,1.0,0.0,0.5,2024,38017620
96,15536324,26,2,6,0,0,2,4,3,6,9,2,0,0,5,4,6,0.3333333,0.0,0.5,2024,373
97,15536325,29,5,13,2,6,4,4,1,1,2,1,0,2,0,0,16,0.3846154,0.3333333,1.0,2024,56677828
98,15536326,14,4,9,2,4,3,4,0,2,2,4,1,0,2,2,13,0.4444444,0.5,0.75,2024,3547269
99,15536327,16,2,4,2,4,0,0,0,2,2,1,0,1,0,1,6,0.5,0.5,0.0,2024,1028243201
100,15536328,20,5,9,4,5,4,6,1,1,2,1,1,1,1,1,18,0.5555556,0.8,0.6666667,2024,58
101,15536329,5,1,1,0,0,0,0,0,1,1,0,0,0,0,0,2,1.0,0.0,0.0,2024,1028045145
102,15536330,15,3,6,0,0,0,0,2,5,7,1,0,0,1,4,6,0.5,,,2024,666564
103,15536331,25,4,10,0,3,0,0,0,0,0,3,2,0,5,0,8,0.4,0.0,0.0,2024,17553994
104,15536332,11,2,4,1,2,2,2,0,0,0,0,1,0,0,1,7,0.5,0.5,1.0,2024,1028037494
105,15536333,19,3,7,1,4,3,3,0,1,1,4,1,1,2,2,10,0.429,0.25,1.0,2024,1028038426
106,15536334,9,1,2,0,1,0,0,0,0,0,2,1,0,0,2,2,0.5,0.0,0.0,2024,436
107,15536340,20,2,5,1,3,0,0,1,7,8,1,2,0,0,3,5,0.4,0.3333333,0.0,2024,666940
